Country,Year,Raw Event,Desc
Azerbaijan,1990,Military Intervention,"In January, Soviet troops entered Baku to suppress the growing nationalist movement, resulting in numerous civilian casualties in an event known as Black January, marking a pivotal moment towards independence."
Azerbaijan,1990,Declaration of Sovereignty,"Azerbaijan declared sovereignty, taking a significant step towards independence from the Soviet Union, signaling a move to establish its own legal and political identity."
Azerbaijan,1991,Independence Declaration,"Following the failed Soviet coup, Azerbaijan declared full independence in August, marking the birth of the Republic of Azerbaijan as a sovereign nation."
Azerbaijan,1991,First Presidential Election,"The country conducted its first presidential election, marking the beginning of its journey towards democratic governance and political autonomy."
Azerbaijan,1992,Membership in the United Nations,"Azerbaijan became a member of the United Nations, marking its acceptance into the international community as a sovereign state."
Azerbaijan,1993,Political Instability,"The country faced significant political instability, leading to the resignation of its president and the rise to power of a new leader, aiming to stabilize the nation during a critical period."
Azerbaijan,1994,Ceasefire Agreement,"A ceasefire was signed to halt the Nagorno-Karabakh conflict, marking a temporary end to active military hostilities, though the conflict remained unresolved."
Azerbaijan,1994,Major Oil Contract,"Azerbaijan signed a significant oil contract with a consortium of international oil companies, known as the ""Contract of the Century,"" aimed at developing its vast oil resources, signaling a major shift towards integrating its economy with global markets."
Azerbaijan,1995,Adoption of a New Constitution,"A referendum led to the adoption of a new constitution, laying the foundational legal framework for the country's governance, human rights, and the separation of powers."
Azerbaijan,1996,Presidential Election,"The country held a presidential election, which was noted for consolidating the incumbent's power amidst criticism over electoral fairness."
Azerbaijan,1997,Strategic Pipeline Agreement,"Azerbaijan agreed on strategic pipeline routes to transport its oil and gas to international markets, crucial for its economic development and independence from Russian transport routes."
Azerbaijan,1998,Presidential Election,"Another presidential election took place, further solidifying the existing political leadership amid international scrutiny over electoral practices."
Azerbaijan,1999,European Council Membership,"Azerbaijan became a member of the Council of Europe, marking a significant step towards European integration and commitment to human rights, democracy, and the rule of law."
Azerbaijan,2000,IT Sector Development,"The government launched initiatives to develop the information technology sector, recognizing the importance of digital economy for national development."
Azerbaijan,2001,Caspian Oil Boom,"The exploitation of significant oil fields in the Caspian Sea began to yield substantial revenues, marking the start of an oil boom that would significantly impact Azerbaijan's economy and global energy markets."
Azerbaijan,2002,Diplomatic Relations,"Azerbaijan expanded its diplomatic relations, establishing formal ties with numerous countries, aiming to strengthen its position on the international stage."
Azerbaijan,2003,Presidential Transition,"A presidential election marked a peaceful transition of power, albeit amidst controversy and allegations of electoral fraud, indicating both progress and challenges in the country's democratic development."
Azerbaijan,2004,Presidential Succession,"Following the death of the long-time leader, his son was elected as the new president in an election marked by controversy and allegations of irregularities, continuing the family's political legacy."
Azerbaijan,2004,Oil Pipeline Inauguration,"The country celebrated the opening of a major pipeline designed to transport Caspian oil to international markets, significantly boosting the economy and energy sector."
Azerbaijan,2004,Media Crackdown,"The government intensified its crackdown on independent media, leading to the closure of several outlets and raising concerns about freedom of expression and press freedom."
Azerbaijan,2004,Military Spending Increase,"The government announced a significant increase in military spending, reflecting ongoing tensions in the region and the importance placed on national defense."
Azerbaijan,2004,International Sports Event,"The country hosted a major international sports event, enhancing its international profile and promoting national pride and development in sports infrastructure."
Azerbaijan,2005,Parliamentary Elections,"Parliamentary elections were held, which were criticized by international observers for widespread irregularities, affecting the country's relationship with the international community."
Azerbaijan,2005,Economic Growth,"The economy experienced significant growth, largely due to rising oil prices and increased production, impacting social and economic development."
Azerbaijan,2005,Anti-Corruption Measures,"The government announced new measures to combat corruption, aiming to improve governance and public administration in response to domestic and international pressure."
Azerbaijan,2005,Diplomatic Relations,"The country worked to strengthen diplomatic relations with neighboring countries and key international players, focusing on security, energy, and economic cooperation."
Azerbaijan,2005,Cultural Festival,"A major cultural festival was held, showcasing Azerbaijani culture and heritage to a global audience, promoting tourism and cultural exchange."
Azerbaijan,2006,Energy Agreement,"The country signed a significant energy agreement with a neighboring country, securing a new route for gas exports and strengthening energy independence."
Azerbaijan,2006,Military Exercises,"Large-scale military exercises were conducted, demonstrating the country's military capabilities and asserting its stance on regional security issues."
