Country,Year,Raw Event,Desc
Jordan,1990,Economic Reforms,"In 1990, Jordan initiated significant economic reforms aimed at liberalizing the economy through structural adjustments, privatization of state-owned enterprises, and financial sector reforms, impacting the country's economic landscape."
Jordan,1990,Increase in Tourism,"Jordan experienced a substantial increase in tourism, boosted by the promotion of historical and cultural sites such as Petra and the Dead Sea, significantly enhancing its revenue from tourism."
Jordan,1990,Educational Expansion,"The Jordanian government focused on expanding educational infrastructure and programs, increasing access to education across the kingdom, which included building new schools and universities."
Jordan,1990,Diplomatic Relations,"Jordan restored full diplomatic relations with Egypt, mending ties that were strained following the 1979 Egypt-Israel peace treaty, thereby stabilizing regional relations."
Jordan,1990,Infrastructure Development,"Significant investments were made in infrastructure development, including road expansions and improvements in public transportation systems, aimed at boosting economic growth and improving connectivity within the country."
Jordan,1991,Gulf War Impact,"The Gulf War led to economic and social strain in Jordan due to disrupted trade and an influx of refugees from neighboring Iraq, impacting the national economy and social services."
Jordan,1991,Energy Projects,"Jordan embarked on various energy projects, including the exploration and development of alternative energy sources, to reduce dependence on imported oil."
Jordan,1991,Water Scarcity Initiatives,"Initiatives were launched to address water scarcity, including the construction of dams and water conservation programs, which were critical due to Jordan's arid climate."
Jordan,1991,Investment Law,"Jordan passed a new investment law to attract foreign direct investment, offering incentives and reducing bureaucratic hurdles to stimulate economic growth."
Jordan,1991,Agricultural Development,"Programs were implemented to enhance agricultural productivity and sustainability, focusing on modern irrigation techniques and the introduction of drought-resistant crops."
Jordan,1992,Peace Talks,"Jordan participated in peace talks aimed at resolving conflicts in the Middle East, playing a significant role in promoting regional stability."
Jordan,1992,Trade Agreements,"Jordan signed several bilateral trade agreements to enhance economic ties and boost exports, particularly with countries in Europe and Asia."
Jordan,1992,Educational Reform,"A major overhaul of the educational curriculum was undertaken to improve the quality of education, emphasizing science and technology."
Jordan,1992,Health Sector Improvement,"The health sector saw significant improvements with the expansion of healthcare facilities and services, focusing on rural and underserved areas."
