Year,Country,Rent Index,Cost of Living Rank,Cost of Living Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
2009.01,Ireland,85.85,1,126.05,110.11,154.51,131.56,59.8
2009.01,Netherlands,71.86,2,123.76,103.17,90.11,108.51,41.55
2009.01,France,77.74,3,120.92,103.79,115.38,118.28,45.46
2009.01,Belgium,78.77,4,117.53,102.16,110.88,107.56,55.58
2009.01,Sweden,33.33,5,112.54,81.12,98.95,85.25,62.79
2009.01,Austria,65.99,6,110.39,92.78,97.71,84.8,54.37
2009.01,Germany,39.96,7,109.85,82.12,92.6,89.25,74
2009.01,Israel,58.82,8,106.8,87.77,110.47,67.16,42.46
2009.01,Italy,77.87,9,105.76,94.7,99.07,101.99,41.78
2009.01,South Korea,34.72,10,102.07,75.35,149.99,102.74,38.46
2009.01,United Kingdom,71.82,11,100.21,88.95,93.27,97.18,66.35
2009.01,United States,58.01,12,91.68,78.33,83.66,80.22,97.97
2009.01,Portugal,36.41,13,88.96,68.12,51.06,60.34,41.2
2009.01,Australia,48.19,14,83.34,69.4,98.87,76.74,120.04
2009.01,Canada,61.49,15,82.27,74.03,99.73,65.05,74.74
2009.01,Chile,22.06,16,79.86,56.93,55.43,40.81,40.4
2009.01,Greece,36.97,17,77.4,61.36,74.5,78.06,38.26
2009.01,Singapore,107.56,18,74.66,87.71,110.78,91.09,56.13
2009.01,Hong Kong,56.21,19,74.5,67.25,95.14,88.66,45.78
2009.01,Czech Republic,46.15,20,74.18,63.06,63.76,54.65,33
2009.01,Brazil,37.24,21,70.46,57.28,73.55,51.76,47.06
2009.01,Latvia,43.53,22,68.8,58.77,37.87,49.32,22.19
2009.01,Jordan,19.69,23,66.43,47.89,88.69,62.05,15.89
2009.01,South Africa,44.64,24,64.74,56.77,53.34,40.79,54.23
2009.01,Serbia,29.33,25,62.67,49.44,51.6,60.36,25.12
2009.01,Hungary,28.81,26,62.05,48.87,50.34,43.26,32.03
2009.01,Colombia,19.85,27,58.52,43.18,60.98,44.27,28.44
2009.01,Bahrain,82.35,28,58.01,67.67,70.11,67.2,48.96
2009.01,Mexico,22.39,29,54.16,41.56,39.96,48.66,42.91
2009.01,Poland,34.76,30,53.51,46.07,40.69,44.58,26.9
2009.01,Bosnia And Herzegovina,13.06,31,49.63,35.12,58.76,35.99,18.57
2009.01,Bolivia,21.76,32,46.72,36.82,27.09,37.16,32.47
2009.01,China,25.07,33,43.47,36.17,58.35,35.17,35.04
2009.01,Thailand,24.49,34,39.85,33.76,53.3,25.32,33.42
2009.01,India,10.52,35,38.48,27.39,34.02,29.53,41.43
2009.01,Ukraine,28.76,36,35.74,32.97,27.19,37.07,30.33
2010.01,Norway,71.58,1,161.3,121.2,169.83,162.61,69.06
2010.01,Denmark,83.47,2,138.91,114.13,116.6,159.09,74.09
2010.01,Netherlands,61.66,3,123.64,95.94,78.44,114.49,68.55
2010.01,France,67.23,4,123.49,98.35,101,132.86,70.52
2010.01,Switzerland,92.37,5,121.42,108.44,132.22,117.7,137.93
2010.01,Belgium,71.15,6,120,98.17,109.41,110.93,88.32
2010.01,Ireland,71.1,7,119.76,98.02,148.01,118.07,99.42
2010.01,Italy,63.7,8,115.41,92.3,94.49,113.34,50.98
2010.01,Finland,50.67,9,111.13,84.11,100.2,108.14,106.55
2010.01,United Kingdom,65.2,10,107.4,88.54,94.4,96.91,87.63
2010.01,Austria,59.6,11,107.28,85.97,96.41,87.46,89.59
2010.01,Germany,38.37,12,105.53,75.51,93.6,85.34,106.83
