Year,Country,Health Care Rank,Health Care Index,Health Care Exp. Index
2012.01,Japan,1,96.11,179.41
2012.01,Indonesia,2,94.12,175.02
2012.01,Sri Lanka,3,93.52,174.17
2012.01,Thailand,4,92.59,173.29
2012.01,Israel,5,91.67,170.57
2012.01,Denmark,6,89.81,168.2
2012.01,Colombia,7,88.89,165.11
2012.01,Malta,8,87.04,161.33
2012.01,New Zealand,9,86.81,161.22
2012.01,Sweden,10,86.76,162
2012.01,Austria,11,83.18,153.81
2012.01,Slovenia,12,82.87,152.69
2012.01,Panama,13,82.41,153.47
2012.01,Belgium,14,82.22,153.6
2012.01,France,15,80.74,148.52
2012.01,Mexico,16,80.06,147.17
2012.01,Switzerland,17,79.51,153.49
2012.01,Bolivia,18,79.17,145.95
2012.01,Australia,19,79.11,144.94
2012.01,Norway,20,79.04,147.12
2012.01,Ecuador,21,77.78,151.24
2012.01,Finland,22,77.08,145.15
2012.01,Argentina,23,76.74,143.09
2012.01,Philippines,24,76.11,142.07
2012.01,United Kingdom,25,76.04,139.92
2012.01,Taiwan,26,74.07,134.49
2012.01,Canada,27,71.99,134.92
2012.01,Germany,28,71.96,133.86
2012.01,Jordan,29,70.83,132.6
2012.01,Slovakia,30,70.37,131.54
2012.01,Netherlands,31,70.37,136.9
2012.01,Turkey,32,69.97,126.92
2012.01,Portugal,33,69.96,129.9
2012.01,Spain,34,69.92,130.26
2012.01,Estonia,35,69.44,129.5
2012.01,Malaysia,36,69.06,127.11
2012.01,Italy,37,67.77,123.64
2012.01,Georgia,38,67.13,123.4
2012.01,Egypt,39,65.74,117.61
2012.01,United States,40,65.52,122.21
2012.01,Croatia,41,65,130.81
2012.01,Czech Republic,42,65,123.23
2012.01,Lithuania,43,64.58,122.15
2012.01,United Arab Emirates,44,63.89,120.53
2012.01,Pakistan,45,60.42,109.26
2012.01,Bulgaria,46,60.3,114.46
2012.01,Hungary,47,59.95,110.97
2012.01,South Africa,48,59.54,105.05
2012.01,India,49,59.42,105.09
2012.01,Chile,50,59.26,105.54
2012.01,Brazil,51,59.09,111.7
2012.01,Singapore,52,58.97,113.26
2012.01,Serbia,53,57.41,102.4
2012.01,Bosnia And Herzegovina,54,57.41,108.78
2012.01,Poland,55,55.79,99.71
2012.01,Greece,56,51.76,93.93
2012.01,Romania,57,48.41,85.87
2012.01,Venezuela,58,45.37,91.05
2012.01,Puerto Rico,59,44.68,84.52
2012.01,Iran,60,43.4,77.13
2012.01,Lebanon,61,43.33,77.09
2012.01,Mongolia,62,43.06,84.58
2012.01,Ireland,63,41.06,78.19
2012.01,Saudi Arabia,64,40.74,73.33
2012.01,Ukraine,65,40.28,80.66
2012.01,China,66,36.15,59.33
2012.01,Russia,67,35.52,63.81
2013.01,Thailand,1,94.73,176.6
2013.01,Israel,2,87.04,162.15
2013.01,Denmark,3,86.13,160.03
2013.01,France,4,85.62,159.43
2013.01,Panama,5,82.41,153.47
2013.01,Belgium,6,81.48,151.27
2013.01,Austria,7,81.45,150.38
2013.01,Taiwan,8,81.25,148.71
2013.01,Sri Lanka,9,80.56,148.96
2013.01,South Korea,10,80.56,148.78
2013.01,Norway,11,80.51,150.44
2013.01,Japan,12,80.09,145.84
2013.01,Sweden,13,78.7,145.75
2013.01,Argentina,14,78.26,146.82
2013.01,Estonia,15,78.06,144.2
2013.01,Malta,16,77.78,142.87
2013.01,Colombia,17,77.31,140.41
2013.01,Costa Rica,18,77.08,143.17
2013.01,Finland,19,76.41,140.92
2013.01,New Zealand,20,76.04,139.08
2013.01,Spain,21,75.61,140.91
2013.01,Australia,22,75.56,138.2
2013.01,Jordan,23,75.37,139.63
2013.01,Philippines,24,73.7,136.41
2013.01,Germany,25,73.25,134.82
2013.01,Canada,26,72.79,135.7
2013.01,Mexico,27,72.12,130.85
2013.01,Slovenia,28,72.11,134.64
2013.01,Switzerland,29,71.98,137.36
2013.01,Turkey,30,71.87,130.27
2013.01,United Kingdom,31,71.28,131.69
2013.01,Hong Kong,32,71.06,130.68
2013.01,Lithuania,33,70.79,130.04
2013.01,Cyprus,34,70,125.92
2013.01,Georgia,35,68.98,126.16
2013.01,Qatar,36,68.06,132.69
2013.01,United States,37,67.76,126.33
2013.01,Bolivia,38,67.36,125.39
2013.01,Netherlands,39,66.8,125.2
2013.01,North Macedonia,40,64.81,122.96
2013.01,Iceland,41,64.81,123.64
2013.01,Ecuador,42,64.81,121.37
2013.01,Italy,43,64.78,119.47
2013.01,Morocco,44,63.33,113.73
2013.01,India,45,62.68,111.51
2013.01,Czech Republic,46,61.99,117.83
2013.01,Portugal,47,61.63,113.87
2013.01,Chile,48,61.51,109.98
2013.01,South Africa,49,61.33,110.96
2013.01,China,50,60.86,108.15
2013.01,Slovakia,51,59.95,110.21
2013.01,United Arab Emirates,52,59.92,112.26
2013.01,Malaysia,53,59.65,108.01
2013.01,Egypt,54,59.08,104.58
2013.01,Puerto Rico,55,58.98,112.63
2013.01,Singapore,56,58.82,112.59
2013.01,Poland,57,57.81,108.05
2013.01,Brazil,58,57.58,107.09
2013.01,Uruguay,59,57.18,104.56
