Year,Country,Pollution Rank,Pollution Index,Exp Pollution Index
2012.01,Sudan,1,149.17,216.1
2012.01,Sri Lanka,2,135.83,194.46
2012.01,Iran,3,131.85,188.55
2012.01,Morocco,4,125.83,185.35
2012.01,Egypt,5,125.71,177.41
2012.01,Zimbabwe,6,124.17,184.33
2012.01,China,7,122.8,170.96
2012.01,Philippines,8,116.65,160.94
2012.01,Bangladesh,9,116.25,163.04
2012.01,Saudi Arabia,10,112.5,156.7
2012.01,Bosnia And Herzegovina,11,112.42,159.48
2012.01,Venezuela,12,110,160.77
2012.01,Russia,13,104.67,142.88
2012.01,Chile,14,103.75,150.33
2012.01,India,15,102.91,139
2012.01,Thailand,16,101.61,141.15
2012.01,Pakistan,17,101.33,138.35
2012.01,Ukraine,18,100.24,136.83
2012.01,Puerto Rico,19,99.17,133.11
2012.01,Bulgaria,20,98.48,134.38
2012.01,Mexico,21,93.5,127.79
2012.01,Romania,22,91.92,123.63
2012.01,Colombia,23,91.46,124.25
2012.01,Malaysia,24,91.25,125.35
2012.01,Hungary,25,90.25,129.33
2012.01,Argentina,26,90,128.36
2012.01,Hong Kong,27,89.58,146.8
2012.01,Turkey,28,89.23,118.7
2012.01,South Africa,29,88.96,119.13
2012.01,Belgium,30,88.33,120.99
2012.01,Greece,31,87.77,118.5
2012.01,Spain,32,85.62,113.05
2012.01,Italy,33,85.48,117.19
2012.01,Poland,34,83.75,114.15
2012.01,Brazil,35,82.92,112.38
2012.01,Serbia,36,80.97,110.68
2012.01,Singapore,37,70.83,93.89
2012.01,United Arab Emirates,38,69.17,91.05
2012.01,Czech Republic,39,65.99,92.24
2012.01,United Kingdom,40,64.43,86.41
2012.01,France,41,61.82,84.68
2012.01,United States,42,61.27,77.7
2012.01,Tunisia,43,59.58,77.41
2012.01,Jordan,44,58,90.2
2012.01,Japan,45,52.5,74.37
2012.01,Portugal,46,51.91,68.32
2012.01,Croatia,47,49.94,69.35
2012.01,Israel,48,48.75,69.37
2012.01,Ireland,49,45.17,63.99
2012.01,Germany,50,45.14,58.08
2012.01,Indonesia,51,43.84,58.02
2012.01,Austria,52,42.84,59.78
2012.01,Netherlands,53,41.67,60.3
2012.01,Canada,54,41.59,52.33
2012.01,Australia,55,37.25,45.01
2012.01,Switzerland,56,35.49,54.8
2012.01,Slovenia,57,35,48.02
2012.01,Denmark,58,34.17,50.18
2012.01,Sweden,59,32.5,43.85
2012.01,Costa Rica,60,25,59.04
2012.01,Finland,61,24.38,35.51
2012.01,Norway,62,19.22,23.23
2012.01,New Zealand,63,17.08,27.49
2012.01,Iceland,64,7.08,12.69
2013.01,Ghana,1,113.79,212.16
2013.01,Peru,2,97.18,177.2
2013.01,Bangladesh,3,96.93,175.61
2013.01,Jamaica,4,96.84,176.66
2013.01,Nigeria,5,94.83,182.44
2013.01,El Salvador,6,93.1,172.48
2013.01,Iran,7,90.23,168.81
2013.01,Egypt,8,89.86,160.84
2013.01,Myanmar,9,89.52,166.97
2013.01,China,10,89.35,164.12
2013.01,Mongolia,11,88.97,171.09
2013.01,Sri Lanka,12,88.18,160.78
2013.01,Lebanon,13,88.05,158.24
2013.01,Albania,14,87.36,162.61
2013.01,Pakistan,15,86.96,157.42
2013.01,Trinidad And Tobago,16,86.78,156.83
2013.01,Indonesia,17,85.14,151.24
2013.01,Bahamas,18,85.06,152.21
2013.01,Nepal,19,83.37,149.53
2013.01,Qatar,20,82.76,157.18
2013.01,Turkey,21,82,146.13
2013.01,Venezuela,22,81.89,146.91
2013.01,Saudi Arabia,23,80.55,148.47
2013.01,Morocco,24,80.25,145.87
2013.01,Kazakhstan,25,79.6,150.42
2013.01,Bulgaria,26,78.86,143.47
2013.01,Guyana,27,78.74,149.18
2013.01,Russia,28,78.29,138.6
2013.01,India,29,77.48,136.91
2013.01,Armenia,30,77.3,141.07
2013.01,Laos,31,76.29,140.56
2013.01,South Korea,32,75.57,140.38
2013.01,Philippines,33,74.84,131.79
2013.01,North Macedonia,34,74.43,150.71
2013.01,Chile,35,74.2,135.75
2013.01,Bolivia,36,73.79,159.45
2013.01,Thailand,37,72.12,127.24
2013.01,Azerbaijan,38,71.55,128.03
2013.01,Taiwan,39,71.48,129.41
2013.01,Malta,40,71.19,126.09
2013.01,Colombia,41,68.26,127.61
2013.01,Bosnia And Herzegovina,42,67.63,119.84
2013.01,Malaysia,43,67.35,116.96
2013.01,Ukraine,44,67.28,119.79
2013.01,Cambodia,45,66.38,118.46
2013.01,Mexico,46,66.08,115.12
2013.01,Tunisia,47,65.93,118.78
2013.01,Algeria,48,65.8,115.18
2013.01,Hong Kong,49,64.95,122.21
2013.01,Georgia,50,64.83,114.81
2013.01,Romania,51,63.34,108.86
2013.01,Zimbabwe,52,63.05,117.44
2013.01,Greece,53,62.69,109.83
2013.01,Tanzania,54,61.78,106.87
2013.01,Ethiopia,55,60.06,106.41
2013.01,Israel,56,59.54,110.25
2013.01,South Africa,57,58.99,101.03
2013.01,Italy,58,58.86,101.76
2013.01,Ecuador,59,58.55,100.52
2013.01,United Arab Emirates,60,58.37,103.16
2013.01,Libya,61,56.98,97.55
2013.01,Brazil,62,56.5,96.87
2013.01,Cyprus,63,56.44,97.15
2013.01,Argentina,64,55.56,97.17
2013.01,Fiji,65,55.26,99.1
2013.01,Jordan,66,54.6,98.21
2013.01,Kyrgyzstan,67,54.6,95.43
2013.01,Puerto Rico,68,54.02,94.17
2013.01,Sudan,69,53.91,96.29
2013.01,Kenya,70,53.45,90.61
2013.01,Hungary,71,53.27,92.29
2013.01,Serbia,72,52.79,91.22
2013.01,Paraguay,73,51.55,92.41
2013.01,Poland,74,50.02,83.98
2013.01,Costa Rica,75,49.82,91.29
2013.01,Belgium,76,49.63,83.83
2013.01,Singapore,77,49.5,84.77
2013.01,Panama,78,48.08,91.43
2013.01,Belize,79,46.55,82.78
2013.01,Spain,80,46.52,76.93
2013.01,Vietnam,81,46.38,77.24
2013.01,Montenegro,82,44.58,76.6
2013.01,Croatia,83,42,73.35
2013.01,Uganda,84,41.95,77.77
