Country,Year,FDI Flows - Inward (% of GDP)
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Argentina,2005,2.6244668835254
Argentina,2006,2.3624384302824
Argentina,2007,2.2340099490915
Argentina,2008,2.6598392126339
Argentina,2009,1.1943055330102
Argentina,2010,2.6572223774958
Argentina,2011,2.0446596770549
Argentina,2012,2.6355554752938
Argentina,2013,1.601393082848
Argentina,2014,0.89327204068917
Argentina,2015,1.8233744227041
Argentina,2016,0.58475535856846
Argentina,2017,1.7893554728163
Argentina,2018,2.232537295175
Argentina,2019,1.4849648702738
Argentina,2020,1.2667933114143
Argentina,2021,1.4183216834942
Argentina,2022,2.4430075884179
Australia,2005,-3.2507136131406
Australia,2006,3.7061581412252
Australia,2007,4.5260711266813
Australia,2008,4.4391346710224
Australia,2009,2.6958768084902
Australia,2010,2.7034329765958
Australia,2011,4.2214778778313
Australia,2012,3.6095442413714
Australia,2013,3.5543950426252
Australia,2014,4.3523343802755
Australia,2015,3.7628648268604
Australia,2016,3.2898214054282
Australia,2017,3.4076836740406
Australia,2018,4.1438977071051
Australia,2019,2.8085545413699
Australia,2020,1.1334383705669
Australia,2021,1.6342291577822
Australia,2022,3.8303307132033
Australia,2005,-3.2507136131406
Australia,2006,3.7061581412252
Australia,2007,4.5260711266813
Australia,2008,4.4391346710224
Australia,2009,2.6958768084902
