Country,Year,FDI Stocks - Inward (% of GDP)
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Argentina,2005,18.862767928973
Argentina,2006,25.547887463352
Argentina,2007,22.855853098013
Argentina,2008,20.576002257931
Argentina,2009,23.25042796485
Argentina,2010,20.068822666273
Argentina,2011,17.408954534703
Argentina,2012,16.976393927464
Argentina,2013,14.403341833574
Argentina,2014,15.821529702578
Argentina,2015,12.369763400151
Argentina,2016,13.428459660543
Argentina,2017,12.538290728004
Argentina,2018,13.831220957894
Argentina,2019,15.735848222252
Argentina,2020,22.116748335583
Argentina,2021,20.570903756303
Argentina,2022,18.502991923234
Australia,2005,32.476331707106
Australia,2006,36.847603090009
Australia,2007,39.72597501463
Australia,2008,29.097934606587
Australia,2009,43.208965968915
Australia,2010,40.511685957483
Australia,2011,35.86146809408
Australia,2012,38.664527228734
Australia,2013,36.860079916041
Australia,2014,39.810676239936
Australia,2015,45.487853251876
Australia,2016,46.740576706206
Australia,2017,49.596488870661
Australia,2018,48.128336073096
Australia,2019,52.769935567055
