Country,Year,FDI Stocks - Outward (% of GDP)
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
Argentina,2017,6.3592594733234
Argentina,2018,8.0461887973379
Argentina,2019,9.565058725235
Argentina,2020,10.687855280536
Argentina,2021,8.8807935862191
Argentina,2022,7.2587831259969
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
Argentina,2017,6.3592594733234
Argentina,2018,8.0461887973379
Argentina,2019,9.565058725235
Argentina,2020,10.687855280536
Argentina,2021,8.8807935862191
Argentina,2022,7.2587831259969
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
Argentina,2017,6.3592594733234
Argentina,2018,8.0461887973379
Argentina,2019,9.565058725235
Argentina,2020,10.687855280536
Argentina,2021,8.8807935862191
Argentina,2022,7.2587831259969
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
Argentina,2017,6.3592594733234
Argentina,2018,8.0461887973379
Argentina,2019,9.565058725235
Argentina,2020,10.687855280536
Argentina,2021,8.8807935862191
Argentina,2022,7.2587831259969
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
Argentina,2017,6.3592594733234
Argentina,2018,8.0461887973379
Argentina,2019,9.565058725235
Argentina,2020,10.687855280536
Argentina,2021,8.8807935862191
Argentina,2022,7.2587831259969
Argentina,2005,11.633757380788
Argentina,2006,11.048622985846
Argentina,2007,9.5056135336358
Argentina,2008,7.8734967635222
Argentina,2009,8.7810835671606
Argentina,2010,7.1111127784783
Argentina,2011,6.0153742788473
Argentina,2012,5.6617217970356
Argentina,2013,5.6279307893484
Argentina,2014,6.380388611165
Argentina,2015,5.8680124396964
Argentina,2016,7.126941344923
