Country,Year,Exports,Imports,Net Trade
Albania,1995,280.783,894.86,-614.077
Albania,1996,326.11,1227.045,-900.935
Albania,1997,266.515,1120.408,-853.893
Albania,1998,356.686,1333.015,-976.328
Albania,1999,617.413,1538.63,-921.217
Albania,2000,857.471,2300.873,-1443.402
Albania,2001,990.003,2651.108,-1661.105
Albania,2002,1025.172,2911.351,-1886.18
Albania,2003,1145.868,3060.634,-1914.766
Albania,2004,1357.668,3312.102,-1954.434
Albania,2005,1687.132,3848.504,-2161.372
Albania,2006,1972.72,4183.56,-2210.84
Albania,2007,2349.75,4994.571,-2644.821
Albania,2008,2241.061,5175.494,-2934.433
Albania,2009,2346.649,5116.481,-2769.832
Albania,2010,2797.055,5087.166,-2290.111
Albania,2011,2983.733,5401.872,-2418.138
Albania,2012,2992.493,5040.262,-2047.769
Albania,2013,3040.044,5007.822,-1967.778
Albania,2014,3075.089,5221.095,-2146.005
Albania,2015,3104.898,5070.977,-1966.08
Albania,2016,3457.012,5421.895,-1964.883
Albania,2017,3914.837,5874.926,-1960.089
Albania,2018,4072.439,6015.746,-1943.307
Albania,2019,4179.78,6153.485,-1973.706
Albania,2020,3015.233,4935.748,-1920.515
Albania,2021,4417.689,6500.636,-2082.947
Argentina,2004,59096.447,35218.504,23877.944
Argentina,2005,66712.106,40800.014,25912.093
Argentina,2006,70422.102,45284.695,25137.407
Argentina,2007,76171.681,54178.738,21992.943
Argentina,2008,76735.256,61526.56,15208.696
Argentina,2009,69562.73,50195.558,19367.171
Argentina,2010,79229.802,67866.612,11363.19
Argentina,2011,82516.9,82816.688,-299.788
Argentina,2012,79126.849,78900.897,225.952
Argentina,2013,76341.393,81964.525,-5623.132
Argentina,2014,71013.4,72555.002,-1541.602
Argentina,2015,69041.093,75973.299,-6932.206
Argentina,2016,72712.252,80398.108,-7685.856
Argentina,2017,74613.962,92927.185,-18313.223
Argentina,2018,75095.965,88781.39,-13685.425
Argentina,2019,82418.592,72181.729,10236.862
Argentina,2020,67820.783,58856.734,8964.049
Argentina,2021,74072.215,71816.993,2255.222
Argentina,2022,78298.212,84281.598,-5983.386
Australia,1990,68473.516,52309.031,16164.485
Australia,1991,74947.385,54138.965,20808.419
Australia,1992,80501.778,57709.382,22792.396
Australia,1993,88140.151,62038.224,26101.926
Australia,1994,92029.669,72176.981,19852.689
Australia,1995,101195.965,75559.548,25636.417
Australia,1996,112209.874,83035.827,29174.047
Australia,1997,117348.048,91543.36,25804.688
Australia,1998,119595.793,96224.26,23371.533
Australia,1999,131426.052,107817.252,23608.8
Australia,2000,142784.404,106766.19,36018.214
Australia,2001,142083.144,108206.369,33876.775
Australia,2002,142799.667,122486.757,20312.909
Australia,2003,144697.607,139021.339,5676.268
Australia,2004,149703.367,156398.687,-6695.32
Australia,2005,154176.581,169631.208,-15454.626
Australia,2006,160585.687,187211.739,-26626.053
Australia,2007,167039.755,214331.699,-47291.944
Australia,2008,171084.376,206375.573,-35291.197
Australia,2009,179142.68,220707.077,-41564.397
Australia,2010,180666.477,243725.019,-63058.542
Australia,2011,188983.01,271269.876,-82286.866
Australia,2012,199009.38,273161.788,-74152.407
Australia,2013,211095.805,265207.579,-54111.774
Australia,2014,225637.878,269235.479,-43597.601
Australia,2015,240064.862,268358.21,-28293.348
Australia,2016,253232.877,282440.526,-29207.648
Australia,2017,263635.04,302081.012,-38445.971
Australia,2018,273930.777,302764.042,-28833.265
Australia,2019,269141.995,284697.274,-15555.279
Australia,2020,245886.559,274852.432,-28965.874
Australia,2021,244727.829,293830.334,-49102.504
Australia,2022,260561.046,321133.031,-60571.985
Austria,1990,68780.829,73758.597,-4977.768
Austria,1991,70801.126,77530.882,-6729.756
Austria,1992,71735.265,79171.521,-7436.255
Austria,1993,70032.872,74825.422,-4792.55
Austria,1994,74016.404,82556.032,-8539.628
Austria,1995,79349.577,87430.87,-8081.292
Austria,1996,83030.197,91077.506,-8047.308
Austria,1997,92186.619,97699.023,-5512.404
Austria,1998,99424.637,103324.198,-3899.561
Austria,1999,105821.578,107523.094,-1701.516
Austria,2000,120133.507,118475.684,1657.823
Austria,2001,127066.409,124627.322,2439.087
Austria,2002,132512.753,124989.767,7522.986
Austria,2003,133217.049,129373.674,3843.375
Austria,2004,144755.073,139691.412,5063.662
Austria,2005,154403.153,147311.635,7091.518
Austria,2006,166101.003,155936.079,10164.924
Austria,2007,178677.853,164723.055,13954.799
Austria,2008,182556.355,166294.935,16261.42
Austria,2009,156326.461,146507.139,9819.322
Austria,2010,176853.803,164043.334,12810.469
Austria,2011,187350.716,173810.919,13539.796
Austria,2012,190044.247,175416.285,14627.962
Austria,2013,191261.771,176633.764,14628.007
Austria,2014,196784.649,181856.153,14928.496
Austria,2015,202784.894,188457.899,14326.996
Austria,2016,208844.321,195479.351,13364.97
Austria,2017,219073.531,205818.68,13254.851
Austria,2018,230461.893,216825.225,13636.668
Austria,2019,239817.739,221698.883,18118.856
Austria,2020,214469.829,199485.514,14984.316
Austria,2021,234044.998,228067.409,5977.589
Austria,2022,260228.349,246036.336,14192.012
Belgium,1990,140673.07,141224.139,-551.069
Belgium,1991,144971.182,145262.054,-290.872
Belgium,1992,150287.017,151242.585,-955.568
Belgium,1993,149622.274,150696.833,-1074.56
Belgium,1994,162082.254,161668.18,414.074
Belgium,1995,170173.315,169188.511,984.804
Belgium,1996,178639.675,178585.42,54.255
Belgium,1997,195593.587,193233.542,2360.045
Belgium,1998,203686.817,203007.574,679.244
Belgium,1999,213564.145,209855.598,3708.547
Belgium,2000,240039.563,237169.365,2870.199
Belgium,2001,240952.138,235377.612,5574.526
Belgium,2002,249261.058,237863.143,11397.915
Belgium,2003,253287.48,241334.698,11952.782
Belgium,2004,268974.55,256554.885,12419.665
Belgium,2005,283797.975,273042.579,10755.396
Belgium,2006,299976.226,287082.022,12894.204
Belgium,2007,316283.07,303099.283,13183.787
Belgium,2008,322000.279,314632.226,7368.053
