Country,Year,Energy,Food,"Total less Food, less Energy",Total Inflation (CPI) Index
Argentina,2018,,32.73381,,34.27723
Argentina,2019,,58.36288,,53.548309999999994
Argentina,2020,,46.96305,,42.01509
Argentina,2021,,49.84582,,48.40938
Argentina,2022,,74.63056,,72.43076
Australia,1990,16.06711,3.119903,7.484865,7.333022
Australia,1991,0.4380601,2.528369,3.471791,3.176675
Australia,1992,2.618369,0.5762925,0.9742283,1.012231
Australia,1993,1.020584,2.433704,1.694869,1.753653
Australia,1994,0.2203486,2.364403,2.024808,1.969635
Australia,1995,3.26599,5.140973,4.635587,4.627767
Australia,1996,1.12442,2.915198,3.353003,2.615385
Australia,1997,1.774115,2.828677,-0.4131604,0.2248875
Australia,1998,-3.79814,3.059577,0.8823764,0.8601346
Australia,1999,1.932777,3.518542,1.044624,1.483129
Australia,2000,16.80462,0.2729906,4.187311,4.457435
Australia,2001,2.465995,6.280433,4.259913,4.407135
Australia,2002,0.9137612,3.750994,3.001119,2.981575
Australia,2003,5.081695,3.705396,2.34946,2.7325959999999996
Australia,2004,6.346609,1.922286,2.027639,2.343255
Australia,2005,9.798734,1.905833,2.142798,2.691832
Australia,2006,9.250135,9.852309,1.969738,3.5552879999999996
Australia,2007,1.58193,1.656439,2.453655,2.327611
Australia,2008,12.51061,4.251823,3.600818,4.350298
Australia,2009,-6.307878,3.352177,2.312488,1.771117
Australia,2010,8.421489,1.139162,2.694695,2.91834
Australia,2011,10.93911,5.734226,2.153005,3.30385
Australia,2012,7.426358,-3.697105,2.130459,1.76278
Australia,2013,6.413658,0.2200269,2.400281,2.449889
Australia,2014,1.190338,2.63969,2.588035,2.487923
Australia,2015,-7.186137,0.5746248,2.462425,1.508367
Australia,2016,-3.173628,0.240722,1.812424,1.276991
Australia,2017,9.450979,0.07114173,1.604483,1.948647
Australia,2018,11.72583,0.6703755,1.269041,1.911401
Australia,2019,7.668816,4.482894,0.6798787,1.610768
Australia,2020,-2.10481,9.320118,-0.004077226,0.8469055
Australia,2021,10.93195,7.909739,1.406068,2.86391
Australia,2022,15.30013,8.1667,5.545571,6.5940970000000005
Austria,1990,4.198555,2.821057,2.893571,3.261872
Austria,1991,0.01551752,4.08399,3.406292,3.3374259999999993
Austria,1992,3.020273,3.705198,4.34241,4.020847
Austria,1993,-0.6777107,2.272727,4.273315,3.631786
Austria,1994,1.420268,1.382153,3.260788,2.953407
Austria,1995,3.712748,-1.722898,2.27886,2.243364
