Country,Year,Total Labour Force
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
Australia,2014,12275.36
Australia,2015,12517.02
Australia,2016,12690.55
Australia,2017,12968.1
Australia,2018,13274.67
Australia,2019,13555.29
Australia,2020,13529.28
Australia,2021,13738.09
Australia,2022,14141.46
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
Australia,2014,12275.36
Australia,2015,12517.02
Australia,2016,12690.55
Australia,2017,12968.1
Australia,2018,13274.67
Australia,2019,13555.29
Australia,2020,13529.28
Australia,2021,13738.09
Australia,2022,14141.46
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
Australia,2014,12275.36
Australia,2015,12517.02
Australia,2016,12690.55
Australia,2017,12968.1
Australia,2018,13274.67
Australia,2019,13555.29
Australia,2020,13529.28
Australia,2021,13738.09
Australia,2022,14141.46
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
Australia,2014,12275.36
Australia,2015,12517.02
Australia,2016,12690.55
Australia,2017,12968.1
Australia,2018,13274.67
Australia,2019,13555.29
Australia,2020,13529.28
Australia,2021,13738.09
Australia,2022,14141.46
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
Australia,2014,12275.36
Australia,2015,12517.02
Australia,2016,12690.55
Australia,2017,12968.1
Australia,2018,13274.67
Australia,2019,13555.29
Australia,2020,13529.28
Australia,2021,13738.09
Australia,2022,14141.46
Australia,1990,8443.336
Australia,1991,8480.969
Australia,1992,8549.85
Australia,1993,8589.747
Australia,1994,8746.898
Australia,1995,8944.212
Australia,1996,9071.056
Australia,1997,9126.063
Australia,1998,9224.742
Australia,1999,9309.854
Australia,2000,9495.448
Australia,2001,9670.565
Australia,2002,9809.691
Australia,2003,9983.933
Australia,2004,10100.65
Australia,2005,10400.01
Australia,2006,10630.11
Australia,2007,10910.68
Australia,2008,11202.92
Australia,2009,11440.94
Australia,2010,11626.74
Australia,2011,11813.79
Australia,2012,11976.54
Australia,2013,12146.41
