Country,Year,Fixed telephone subscriptions (per 100 people)
Africa Eastern and Southern,2022,0.653270931482092
Africa Eastern and Southern,2021,0.60276283376401
Africa Eastern and Southern,2020,0.754008143997969
Africa Eastern and Southern,2019,0.810358367885163
Africa Eastern and Southern,2018,1.00183386792786
Africa Eastern and Southern,2017,1.33126041589366
Africa Eastern and Southern,2016,1.34975979750139
Africa Eastern and Southern,2015,1.28151540946766
Africa Eastern and Southern,2014,1.29973385870506
Africa Eastern and Southern,2013,1.34662191535518
Africa Eastern and Southern,2012,1.61877274668544
Africa Eastern and Southern,2011,1.71250705863338
Africa Eastern and Southern,2010,1.80633241960719
Africa Eastern and Southern,2009,1.88896679036097
Africa Eastern and Southern,2008,1.84939926255462
Africa Eastern and Southern,2007,1.8555090751088
Africa Eastern and Southern,2006,1.84016930031967
Africa Eastern and Southern,2005,1.85876793295021
Africa Eastern and Southern,2004,1.96453208243361
Africa Eastern and Southern,2003,1.9706050270912
Africa Eastern and Southern,2002,1.91629374584511
Africa Eastern and Southern,2001,1.87292095668847
Africa Eastern and Southern,2000,1.87304961979575
Africa Eastern and Southern,1999,1.98617578265713
Africa Eastern and Southern,1998,1.86832640404802
Africa Eastern and Southern,1997,1.74399830747354
Africa Eastern and Southern,1996,1.63714955222042
Africa Eastern and Southern,1995,1.56704616122248
Africa Eastern and Southern,1994,1.50618643524761
Africa Eastern and Southern,1993,1.46669845113227
Africa Eastern and Southern,1992,1.44456822634339
Africa Eastern and Southern,1991,1.47204063915524
Africa Eastern and Southern,1990,1.44710621965375
Africa Eastern and Southern,1989,1.39054844180459
Africa Eastern and Southern,1988,1.33484942230713
Africa Eastern and Southern,1987,1.28536714447889
Africa Eastern and Southern,1986,1.25377088467902
Africa Eastern and Southern,1985,1.18268965116224
Africa Eastern and Southern,1984,1.14195656237037
Africa Eastern and Southern,1983,1.12624419658964
Africa Eastern and Southern,1982,1.08778728137668
Africa Eastern and Southern,1981,1.03580052842938
Africa Eastern and Southern,1980,1.02805571229005
Africa Eastern and Southern,1979,0.983141221293721
Africa Eastern and Southern,1978,0.977188107679895
Africa Eastern and Southern,1977,0.912702954973511
Africa Eastern and Southern,1976,0.870190826369553
Africa Eastern and Southern,1975,0.875758878147607
Africa Eastern and Southern,1974,0.773216401974737
Africa Eastern and Southern,1973,0.773571514370305
Africa Eastern and Southern,1972,0.773499133684909
Africa Eastern and Southern,1971,0.773276941796367
Africa Eastern and Southern,1970,0.771958056645876
Africa Eastern and Southern,1969,0.793198742032218
Africa Eastern and Southern,1968,0.793241386460741
Africa Eastern and Southern,1967,0.793285841568396
Africa Eastern and Southern,1966,0.793235824489002
Africa Eastern and Southern,1965,0.802419854733094
Africa Eastern and Southern,1964,0.844889227805324
Africa Eastern and Southern,1963,0.844147336182397
Africa Eastern and Southern,1962,0.843302196219782
Africa Eastern and Southern,1961,0.84236798921054
Africa Eastern and Southern,1960,0.83700459546021
Africa Western and Central,2022,0.61788164790465
Africa Western and Central,2021,0.542531706865181
Africa Western and Central,2020,0.579236730434518
Africa Western and Central,2019,0.553210006480837
Africa Western and Central,2018,0.617882128400966
Africa Western and Central,2017,0.622093661317531
Africa Western and Central,2016,0.68400829951837
Africa Western and Central,2015,0.720298345156666
Africa Western and Central,2014,0.768008216911776
Africa Western and Central,2013,0.755516430012959
Africa Western and Central,2012,0.780607913978651
Africa Western and Central,2011,0.863591059788961
Africa Western and Central,2010,0.945105557126738
Africa Western and Central,2009,1.07996467971097
Africa Western and Central,2008,0.965839668264998
Africa Western and Central,2007,1.05555496179614
Africa Western and Central,2006,1.08943705198388
Africa Western and Central,2005,0.915791887126688
Africa Western and Central,2004,0.858342716425024
Africa Western and Central,2003,0.797818431858228
Africa Western and Central,2002,0.76643663892199
Africa Western and Central,2001,0.719843165137343
Africa Western and Central,2000,0.664712875620078
Africa Western and Central,1999,0.581384243902782
Africa Western and Central,1998,0.526052395344194
Africa Western and Central,1997,0.47613335153898
Africa Western and Central,1996,0.451066402647719
Africa Western and Central,1995,0.424545371031515
Africa Western and Central,1994,0.391795347330836
