,country_a_id_fk,country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,Power
0,Cuba,Uzbekistan,2006.0,2009.0,15.0,8.0,0.9523,4.47138
3,Uzbekistan,Vietnam,2006.0,2007.0,17.0,7.0,0.95469,4.372814
6,Cuba,Uzbekistan,2006.0,2010.0,14.0,8.0,0.95156625,4.37093975
9,Uzbekistan,Turkmenistan,2006.0,2007.0,17.0,7.0,0.9473471428571428,4.368408285714286
12,Malta,Uzbekistan,2007.0,2009.0,14.0,8.0,0.94601,4.367605999999999
13,Latvia,Estonia,2006.0,2007.0,17.0,7.0,0.9418371428571428,4.365102285714286
14,Romania,Slovakia,2006.0,2007.0,14.0,8.0,0.9387575,4.3632545
17,Romania,Slovakia,2006.0,2008.0,14.0,8.0,0.9367525,4.3620515
20,Uzbekistan,Vietnam,2006.0,2008.0,16.0,7.0,0.9551057142857143,4.273063428571429
21,Estonia,Latvia,2006.0,2007.0,16.0,7.0,0.9489357142857143,4.269361428571429
22,Cuba,Uzbekistan,2006.0,2008.0,16.0,7.0,0.94834,4.269004
25,Latvia,Estonia,2006.0,2007.0,16.0,7.0,0.9445485714285714,4.266729142857143
26,Romania,Slovakia,2006.0,2008.0,13.0,8.0,0.9436424999999999,4.2661855
27,Romania,Slovakia,2006.0,2007.0,13.0,8.0,0.93513,4.261078
30,Suriname,Latvia,2007.0,2007.0,16.0,7.0,0.9317371428571429,4.259042285714286
33,Uzbekistan,Vietnam,2006.0,2008.0,15.0,7.0,0.9512871428571429,4.1707722857142855
34,Estonia,Latvia,2006.0,2007.0,15.0,7.0,0.9496414285714285,4.169784857142857
41,Indonesia,Tajikistan,2006.0,2009.0,15.0,7.0,0.9420685714285714,4.165241142857143
44,Trinidad and Tobago,Cyprus,2007.0,2007.0,15.0,7.0,0.9339771428571428,4.160386285714286
45,Azerbaijan,Cuba,2006.0,2007.0,15.0,7.0,0.9327385714285714,4.159643142857143
50,Malta,Uzbekistan,2007.0,2008.0,14.0,7.0,0.96143,4.076858
51,Malta,Uzbekistan,2007.0,2007.0,17.0,6.0,0.9576516666666667,4.074591
52,Estonia,Latvia,2006.0,2007.0,14.0,7.0,0.9573828571428571,4.074429714285714
53,Maldives,North Korea,2007.0,2007.0,17.0,6.0,0.9568333333333333,4.0741
54,Malta,Indonesia,2007.0,2007.0,17.0,6.0,0.956255,4.073753
55,Turkmenistan,Uzbekistan,2006.0,2007.0,17.0,6.0,0.955995,4.073597
58,Suriname,Nepal,2007.0,2007.0,17.0,6.0,0.9551616666666667,4.073097
59,Malta,Uzbekistan,2007.0,2007.0,14.0,7.0,0.9546685714285715,4.072801142857143
